X,Y
211,214
210,213
214,216
217,218
220,219
223,220
218,225
217,224
218,229
218,230
221,233
220,234
220,238
222,239
220,241
220,243
222,245
215,253
220,256
217,266
214,266
213,268
213,272
212,272
209,274
208,274
207,274
207,270
205,270
206,267
202,267
201,267
201,271
202,271
200,275
198,274
195,266
197,264
193,262
195,254
196,251
196,250
193,247
192,245
197,241
197,236
197,234
192,231
193,225
188,218
192,211
190,208
196,215
200,218
202,213
204,214
206,219
210,219
202,223
210,234
207,237
205,240
203,246
204,260
203,262
205,262
219,271
224,268
230,265
234,265
262,256
279,246
285,242
286,242
284,239
286,236
290,241
292,241
287,248
296,264
299,267
299,268
321,282
318,296
317,298
310,299
316,305
316,312
313,325
316,326
317,331
311,336
312,343
310,343
315,343
319,345
316,348
321,349
331,362
345,369
346,370
355,378
358,380
369,383
381,390
374,312
367,298
370,295
370,294
369,291
367,287
368,280
368,271
367,271
371,270
378,270
379,270
382,272
388,277
353,267
348,269
344,272
339,272
342,283
340,294
310,326
309,326
303,326
303,337
301,339
274,340
308,239
313,237
326,232
327,231
332,230
336,234
335,235
346,231
352,228
352,224
354,224
356,227
357,227
359,229
358,223
363,220
364,210
366,199
365,198
365,197
365,194
365,189
367,188
366,186
368,182
372,181
365,177
362,175
359,178
356,179
357,182
349,176
343,177
343,181
345,189
357,193
368,199
379,192
380,193
387,209
381,234
372,232
346,210
341,171
339,168
336,168
341,160
333,159
332,159
330,159
328,159
322,159
320,159
316,158
306,158
297,158
284,157
279,155
277,159
272,157
272,155
266,153
261,152
241,144
238,141
238,135
234,134
227,132
227,131
224,131
223,139
225,143
227,141
229,144
238,147
220,160
217,155
205,150
198,148
198,141
206,140
209,138
213,134
215,139
214,142
204,134
211,128
211,127
215,128
201,124
193,132
189,136
190,138
188,139
186,139
190,144
189,149
192,155
193,156
194,158
189,159
189,160
181,151
179,151
175,151
173,152
173,149
166,151
166,153
162,145
163,144
165,144
157,146
146,148
128,143
128,142
115,147
106,153
108,159
107,162
106,163
106,165
105,167
100,166
103,162
103,161
95,167
92,166
91,169
87,177
81,188
80,190
80,201
80,203
80,212
80,216
88,230
91,237
96,244
96,245
105,243
103,237
112,255
113,256
120,262
133,250
134,250
139,252
139,254
142,254
143,257
149,258
156,258
164,262
165,262
169,258
166,254
164,251
161,243
165,234
166,231
180,231
180,232
180,238
180,246
180,255
180,256
179,258
178,258
183,256
183,255
184,257
183,265
182,265
188,272
182,275
180,275
171,276
172,264
159,277
158,277
153,277
136,273
136,272
127,244
123,233
121,212
121,206
121,204
129,164
160,133
163,133
179,141
183,131
186,132
183,126
177,168
179,178
180,178
175,182
187,191
188,192
199,192
205,192
206,192
211,189
213,187
218,182
219,177
220,173
231,188
232,193
236,202
246,201
248,206
244,215
239,220
235,215
258,223
262,223
262,222
261,226
261,228
260,230
265,218
264,216
266,216
267,215
262,215
261,217
265,207
268,206
267,198
266,194
265,192
264,190
262,194
260,193
258,190
261,183
256,175
260,203
210,197
200,202
203,207
195,181
189,173
198,171
288,146
290,145
305,106
305,105
307,100
311,92
324,66
335,46
335,45
340,40
346,36
349,26
351,25
354,24
366,13
366,11
369,1
350,164
356,168
368,169
383,170
384,170
387,170
396,169
