X,Y
0,98
0,138
0,139
0,140
0,149
0,150
0,151
0,152
1,32
1,33
1,34
1,35
1,36
1,37
1,38
1,39
1,40
1,92
1,93
1,94
1,95
1,96
1,97
1,98
1,134
1,135
1,136
1,137
1,138
1,145
1,146
1,147
1,148
1,149
1,150
2,30
2,31
2,32
2,33
2,88
2,89
2,90
2,91
2,130
2,131
2,132
2,133
2,142
2,143
2,144
3,28
3,29
3,31
3,85
3,86
3,87
3,126
3,127
3,128
3,129
3,139
3,140
3,141
4,25
4,26
4,27
4,81
4,82
4,83
4,84
4,123
4,124
4,125
4,134
4,135
4,136
4,137
4,138
5,21
5,22
5,23
5,24
5,79
5,80
5,119
5,120
5,121
5,122
5,131
5,132
5,133
6,17
6,18
6,19
6,20
6,39
6,40
6,41
6,42
6,75
6,76
6,77
6,78
6,79
6,116
6,117
6,118
6,128
6,129
6,130
7,15
7,16
7,37
7,38
7,39
7,72
7,73
7,74
7,112
7,113
7,114
7,115
7,125
7,126
7,127
8,11
8,12
8,13
8,14
8,15
8,32
8,33
8,34
8,35
8,36
8,71
8,72
8,110
8,111
8,112
8,123
8,124
9,8
9,9
9,10
9,32
9,107
9,108
9,109
9,119
9,120
9,121
9,122
9,306
10,5
10,6
10,7
10,24
10,28
10,29
10,30
10,31
10,32
10,104
10,105
10,106
10,116
10,117
10,118
10,306
11,2
11,3
11,4
11,22
11,23
11,24
11,25
11,26
11,27
11,100
11,101
11,102
11,103
11,112
11,113
11,114
11,115
11,306
12,0
12,1
12,20
12,21
12,96
12,97
12,98
12,99
12,109
12,110
12,111
12,306
12,307
13,19
13,93
13,94
13,95
13,106
13,107
13,108
13,307
14,15
14,16
14,17
14,18
14,90
14,91
14,92
14,102
14,103
14,104
14,105
14,307
15,13
15,14
15,87
15,88
15,89
15,99
15,100
15,101
15,307
15,308
16,5
16,6
16,7
16,8
16,9
16,12
16,83
16,84
16,85
16,86
16,96
16,97
16,98
16,308
16,309
17,0
17,1
17,2
17,3
17,4
17,8
17,10
17,11
17,80
17,81
17,82
17,92
17,93
17,94
17,95
17,309
18,7
18,8
18,77
18,78
18,79
18,89
18,90
18,91
18,309
19,7
19,74
19,75
19,76
19,85
19,86
19,87
19,88
19,309
19,310
20,71
20,72
20,73
20,82
20,83
20,84
20,310
20,314
20,316
21,67
21,68
21,69
21,70
21,80
21,81
21,310
21,311
21,314
21,315
22,63
22,64
22,65
22,66
22,76
22,77
22,78
22,79
22,311
22,312
22,315
22,316
23,60
23,61
23,62
23,72
23,73
23,74
23,75
23,312
23,314
23,316
23,317
24,57
24,58
24,59
24,69
24,70
24,71
24,312
24,313
24,317
24,318
25,53
25,54
25,55
25,56
25,66
25,67
25,68
25,313
25,314
25,318
25,319
26,49
26,50
26,51
26,52
26,62
26,63
26,64
26,65
26,314
26,315
26,319
27,46
27,47
27,48
27,58
27,59
27,60
27,61
27,315
27,319
27,320
28,43
28,44
28,45
28,55
28,56
28,57
28,315
28,316
28,320
28,321
29,40
29,41
29,42
29,52
29,53
29,54
29,316
29,317
29,321
29,322
30,37
30,38
30,39
30,49
30,50
30,51
30,317
30,318
30,322
30,323
31,33
31,34
31,35
31,36
31,45
31,46
31,47
31,48
31,318
31,319
31,323
32,29
32,30
32,31
32,32
32,42
32,43
32,44
32,319
32,320
32,323
32,324
33,27
33,28
33,38
33,39
33,40
33,41
33,320
33,321
33,324
33,325
34,23
34,24
34,25
34,26
34,35
34,36
34,37
34,321
34,325
34,326
35,20
35,21
35,22
35,33
35,34
35,321
35,322
35,326
35,327
36,16
36,17
36,18
36,19
36,28
36,29
36,30
36,31
36,32
36,322
36,323
36,327
36,328
37,13
37,14
37,15
37,25
37,26
37,27
37,323
37,324
37,328
37,329
38,9
38,10
38,11
38,12
38,21
38,22
38,23
38,24
38,324
38,329
39,7
39,8
39,18
39,19
39,20
39,324
39,325
39,329
39,330
40,3
40,4
40,5
40,6
40,16
40,17
40,322
40,325
40,326
40,330
40,331
41,0
41,1
41,2
41,12
41,13
41,14
41,15
41,322
41,326
41,327
41,331
41,332
42,9
42,10
42,11
42,323
42,327
42,328
42,332
42,333
43,4
43,5
43,6
43,7
43,8
43,324
43,328
43,329
43,333
43,334
44,2
44,3
44,324
44,325
44,329
44,330
44,334
44,335
45,0
45,1
45,325
45,326
45,330
45,331
45,335
45,336
46,327
46,331
46,332
46,336
47,332
47,336
47,337
48,332
48,333
48,337
